,mean_abs_shap
weight_kg_zscore_in_race,0.3163311
n_field,0.18120588
jockey_career_show_rate,0.17364274
racetrack_id_1.0,0.15630232
avg_finish_last3,0.12553158
rest_days,0.09711631
jockey_career_runs,0.09586718
last_finish_pos,0.09534692
best_finish_last3,0.06765461
year_places,0.067292824
weight_kg,0.06626687
dist_diff_from_avg,0.060104538
dividend_career_min,0.058777917
dividend_career_mean,0.04961888
dividend_last3_mean,0.04527421
horse_age,0.044487942
dist_bucket_runs,0.03923075
career_runs,0.037771177
track_runs,0.035594653
track_show_rate,0.034928765
racetrack_id_13.0,0.031722367
weight_change_from_last,0.03134468
dist_bucket_show_rate,0.030752564
year_show_rate,0.030636868
career_show_rate,0.02935075
career_win_rate,0.028646575
year_runs,0.020837234
days_since_last_win,0.019760186
career_wins,0.017706836
sex_code_H,0.014970007
career_places,0.014756431
career_shows,0.011594364
year_wins,0.009339983
year_win_rate,0.008423368
racetrack_id_16.0,0.006639398
year_shows,0.005860149
racetrack_id_9.0,0.0055731297
racetrack_id_21.0,0.0023352618
racetrack_id_4.0,0.0018823418
sex_code_M,0.0013829595
racetrack_id_8.0,0.000108910106
